year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1983,416,1148,815,1153,4566,1103,791,577,298,2198,1561,653,799,545,2379,1275,863,955,1603,1122,1065,430,1739,989,1237,998,448,1427,384,603,367,1583,792,447,3114,1873,1134,888,1860,363,1032,390,1181,3441,924,1286,279,1278,1086,606,332
1984,434,1121,820,1215,4659,1093,819,608,303,2252,1564,643,779,542,2385,1250,847,956,1582,1129,1077,438,1795,1024,1224,1015,443,1419,400,621,377,1572,838,456,3205,1899,1124,879,1855,355,1042,387,1196,3509,913,1309,284,1280,1110,575,323
1985,434,1171,841,1271,4869,1140,842,622,306,2392,1635,589,798,528,2441,1294,836,943,1631,1193,1109,452,1835,1035,1262,990,455,1498,398,599,411,1629,810,469,3286,1936,1105,903,1953,382,1085,388,1221,3671,904,1382,270,1301,1153,577,321
1986,425,1170,802,1329,5114,1132,857,616,305,2393,1679,603,770,530,2421,1298,878,941,1576,1221,1154,447,1890,1042,1266,1001,417,1541,388,606,399,1675,821,479,3412,1967,1087,909,2009,363,1059,383,1211,3656,922,1407,278,1346,1148,581,290
1987,423,1183,834,1356,5208,1138,915,637,321,2509,1752,593,781,488,2506,1323,873,967,1530,1276,1197,424,1923,1073,1275,981,415,1556,363,593,424,1743,814,522,3497,1977,1041,909,2019,386,1080,391,1269,3693,903,1465,269,1372,1145,564,255
1988,401,1197,839,1403,5560,1132,930,687,345,2629,1813,620,816,515,2587,1393,888,964,1548,1349,1247,444,1968,1097,1334,1012,408,1635,375,595,429,1795,820,518,3644,2041,1082,983,2088,407,1158,377,1326,3697,951,1515,281,1392,1178,555,256
1989,431,1246,841,1452,5945,1154,975,753,348,2731,1905,617,819,529,2710,1417,909,1009,1537,1409,1300,456,2093,1156,1405,1019,409,1715,373,622,467,1929,826,586,3880,2158,1083,998,2167,422,1172,392,1378,3877,966,1590,289,1491,1249,564,266
1990,407,1283,893,1497,6261,1210,987,738,350,2821,1982,661,842,550,2827,1481,905,1014,1554,1434,1399,464,2231,1172,1454,1048,423,1785,349,630,468,1956,858,634,4005,2210,1073,1064,2249,434,1254,393,1390,3972,963,1668,282,1540,1273,574,249
1991,439,1281,863,1511,6226,1233,990,721,378,2838,2031,628,839,572,2857,1508,892,1051,1584,1397,1399,464,2261,1181,1468,1060,410,1812,361,623,438,1989,874,669,4017,2283,1097,1053,2263,439,1234,392,1426,4057,987,1646,280,1583,1292,584,278
1992,409,1329,878,1549,6304,1315,982,691,378,2914,2096,617,864,578,2871,1495,916,1065,1607,1405,1419,457,2248,1196,1467,1065,414,1880,375,646,444,1999,875,681,4026,2246,1173,1088,2310,443,1244,399,1477,4204,1026,1723,286,1648,1317,579,270
1993,406,1333,891,1576,6314,1250,997,660,344,2903,2068,630,913,610,2955,1555,953,1053,1611,1392,1431,452,2192,1199,1489,1039,417,1845,372,664,450,1973,873,697,4016,2274,1146,1089,2265,447,1196,399,1488,4162,1030,1671,274,1629,1342,584,258
1994,398,1315,900,1641,6241,1319,984,643,356,2959,2146,636,887,589,2997,1546,955,1067,1555,1413,1420,447,2259,1219,1452,1042,420,1847,352,661,428,2021,856,755,4072,2303,1174,1126,2307,425,1182,409,1516,4276,1071,1711,292,1619,1343,581,251
1995,389,1347,915,1640,6092,1344,961,584,370,2939,2150,631,896,638,2919,1585,961,1061,1544,1406,1442,447,2179,1234,1505,1046,411,1911,383,697,437,2008,834,786,4071,2293,1158,1150,2277,425,1186,405,1564,4305,1098,1744,283,1635,1345,579,257
1996,386,1395,934,1701,6036,1399,970,540,371,3063,2205,595,939,651,2949,1627,959,1081,1549,1395,1441,444,2237,1266,1528,1074,417,1965,373,699,443,2016,859,824,4060,2324,1175,1204,2257,421,1171,397,1555,4395,1153,1758,277,1691,1337,569,265
1997,391,1361,993,1743,5961,1407,984,547,357,3132,2324,585,944,655,2997,1692,1005,1088,1571,1433,1478,454,2305,1323,1579,1064,427,2076,369,719,437,2086,862,869,4051,2375,1272,1198,2297,417,1215,397,1593,4496,1206,1753,283,1722,1372,593,264
1998,407,1430,1014,1795,5976,1502,982,551,373,3203,2466,581,956,672,3083,1718,1023,1141,1660,1485,1537,455,2424,1351,1627,1158,434,2185,355,738,456,2121,884,902,4174,2452,1271,1235,2363,443,1277,414,1702,4679,1240,1867,289,1779,1374,590,264
1999,406,1472,1019,1863,6052,1584,998,539,392,3323,2553,578,981,692,3082,1767,1081,1178,1680,1529,1551,453,2459,1395,1601,1130,424,2235,355,752,459,2107,839,947,4179,2483,1289,1272,2381,435,1304,426,1715,4878,1307,1885,273,1803,1431,590,256
2000,398,1490,1079,1960,6284,1621,1018,591,400,3451,2702,593,996,743,3201,1827,1119,1214,1706,1520,1614,469,2505,1446,1664,1166,461,2353,364,784,453,2175,879,953,4293,2596,1323,1263,2477,442,1322,409,1784,5064,1324,2027,285,1833,1492,634,251
2001,413,1456,1069,1980,6333,1664,1045,565,411,3505,2755,559,1037,726,3236,1867,1113,1222,1658,1603,1616,479,2529,1496,1682,1181,444,2416,377,785,479,2286,877,983,4338,2573,1345,1264,2462,457,1362,444,1777,5262,1401,2055,283,1841,1518,629,243
2002,400,1461,1094,2041,6414,1708,1049,545,436,3582,2791,565,1052,776,3228,1865,1165,1227,1664,1616,1647,485,2523,1507,1699,1160,450,2428,366,825,472,2241,932,1020,4261,2603,1400,1310,2487,448,1367,437,1814,5388,1401,2066,272,1904,1499,639,278
2003,417,1533,1109,2096,6533,1766,1063,544,433,3756,2926,588,1077,779,3288,1906,1173,1268,1727,1632,1693,498,2620,1561,1775,1207,467,2446,380,845,474,2389,922,1055,4381,2723,1416,1331,2619,469,1429,466,1832,5513,1430,2148,269,1893,1545,663,283
2004,411,1545,1144,2181,6708,1748,1086,564,429,3890,3001,627,1103,814,3353,1997,1217,1492,1755,1643,1734,510,2607,1641,1788,1216,474,2517,376,881,499,2390,948,1073,4400,2760,1458,1323,2680,471,1464,478,1902,5634,1488,2249,286,1941,1607,685,277
2005,430,1566,1200,2264,6874,1808,1105,514,445,4038,3114,591,1161,861,3403,2030,1246,1352,1702,1661,1780,523,2634,1668,1910,1237,476,2625,396,867,500,2422,943,1155,4459,2839,1456,1376,2754,467,1510,501,2021,5800,1505,2338,293,2047,1652,710,302
2006,438,1656,1228,2387,7075,1867,1124,575,467,4247,3252,643,1199,897,3508,2098,1279,1413,1733,1760,1861,519,2694,1786,1975,1334,511,2733,409,931,526,2454,985,1223,4578,2887,1583,1442,2794,473,1627,508,2106,5941,1587,2429,273,2096,1726,713,307
2007,429,1714,1280,2435,7250,1894,1149,568,466,4290,3339,610,1221,900,3570,2197,1319,1439,1877,1760,1918,535,2676,1849,2016,1384,505,2891,428,955,515,2567,1021,1265,4680,2999,1624,1491,2871,468,1656,529,2181,6219,1655,2489,281,2210,1787,725,330
2008,462,1726,1270,2428,7158,1914,1149,557,452,4259,3309,642,1236,922,3596,2190,1334,1491,1843,1774,1965,529,2740,1808,2054,1365,542,2906,439,954,518,2536,1022,1236,4733,3015,1694,1508,2939,464,1699,520,2220,6269,1690,2485,272,2311,1840,735,324
2009,450,1713,1261,2336,7119,1923,1143,533,450,4214,3262,590,1250,925,3541,2239,1392,1477,1916,1755,1933,522,2734,1800,2028,1330,536,2945,439,976,487,2530,1020,1243,4725,3015,1669,1473,2954,456,1644,513,2203,6382,1691,2475,265,2316,1842,742,317
2010,464,1727,1256,2310,7010,1892,1120,527,444,4175,3153,607,1222,884,3511,2190,1372,1467,1868,1738,1902,523,2688,1802,2024,1261,526,2890,467,956,516,2481,976,1222,4701,2963,1651,1459,2931,451,1625,540,2145,6227,1630,2454,273,2315,1827,725,310
